./static/chairbot/py/CB03.txt
x/ll[0] 	 y/ll[1] 	 degree 	 time
357.5	352.5	193.722297133	1590693325.98	
356.5	353.25	195.901389935	1590693326.02	
355.0	352.5	198.434948823	1590693326.05	
311.25	263.5	239.300277449	1590693327.81	
311.75	260.75	243.296218393	1590693327.84	
334.25	264.0	238.330264853	1590693328.01	
333.0	266.5	241.654306377	1590693328.04	
330.5	269.25	246.501434324	1590693328.07	
322.75	275.5	260.847660951	1590693328.17	
321.0	277.25	263.762919924	1590693328.2	
319.75	279.25	266.633539337	1590693328.24	
319.75	281.25	267.878903603	1590693328.27	
319.25	282.25	268.500452962	1590693328.3	
319.25	283.0	269.095404966	1590693328.33	
319.25	284.5	270.30155395	1590693328.37	
318.0	286.75	272.423771344	1590693328.4	
315.5	290.5	276.072456407	1590693328.43	
315.75	290.75	275.139757379	1590693328.47	
316.75	290.0	274.561807987	1590693328.5	
316.5	289.25	274.281536235	1590693328.53	
317.0	289.0	274.398705355	1590693328.57	
318.25	289.5	273.95564548	1590693328.6	
318.25	289.5	273.914137219	1590693328.64	
318.5	288.75	273.632950739	1590693328.67	
318.75	289.0	273.278986259	1590693328.7	
317.75	289.5	274.561807987	1590693328.73	
317.25	288.75	273.893707555	1590693328.77	
317.0	287.5	272.950779109	1590693328.8	
313.75	289.0	275.593603449	1590693328.84	
311.25	290.75	276.726884049	1590693328.87	
310.0	291.5	277.556344056	1590693328.9	
309.5	292.75	278.572998364	1590693328.94	
306.75	293.0	279.369385096	1590693328.97	
305.5	293.25	280.91788536	1590693329.0	
306.75	292.5	279.829892335	1590693329.03	
309.5	293.25	278.872132993	1590693329.07	
310.0	293.75	279.865806943	1590693329.1	
311.25	295.25	280.569991221	1590693329.13	
313.25	295.75	280.996272581	1590693329.17	
315.75	294.25	280.996272581	1590693329.2	
318.25	292.75	279.946004942	1590693329.23	
318.25	291.25	280.569991221	1590693329.26	
315.5	289.0	281.725112015	1590693329.3	
312.75	286.75	281.413354346	1590693329.33	
309.0	282.0	281.618524353	1590693329.36	
305.0	277.5	282.022276686	1590693329.4	
301.25	274.5	281.158222909	1590693329.43	
297.5	272.75	282.362492416	1590693329.46	
294.0	272.0	283.790866897	1590693329.5	
292.25	271.0	283.91472556	1590693329.53	
291.75	270.25	282.88197779	1590693329.56	
292.25	269.75	281.901606238	1590693329.6	
293.0	269.25	280.856413348	1590693329.63	
294.25	269.25	280.281393429	1590693329.66	
295.5	269.75	279.593134263	1590693329.69	
298.0	270.25	278.623691955	1590693329.73	
300.0	270.75	277.024732123	1590693329.76	
301.75	271.0	276.134409944	1590693329.79	
302.0	271.5	276.340191746	1590693329.83	
301.75	273.25	276.512423029	1590693329.86	
302.75	273.5	275.914946366	1590693329.9	
304.75	272.5	274.763641691	1590693329.93	
307.75	272.5	273.699319492	1590693329.96	
311.0	273.0	272.468117914	1590693330.0	
311.75	273.5	273.17983012	1590693330.03	
312.5	276.5	272.910837826	1590693330.06	
314.5	279.25	272.923202932	1590693330.09	
319.75	282.25	270.241752909	1590693330.13	
325.25	286.5	268.286534683	1590693330.16	
330.75	292.75	266.316513611	1590693330.19	
340.5	303.25	263.632820136	1590693330.23	
351.75	313.25	262.590561268	1590693330.26	
359.75	320.5	262.874983651	1590693330.29	
365.5	322.75	264.320750284	1590693330.32	
370.25	324.0	265.438192013	1590693330.36	
372.25	328.25	265.933681225	1590693330.39	
376.25	326.5	265.10822782	1590693330.42	
380.75	325.25	262.29066692	1590693330.46	
380.5	326.0	262.568592029	1590693330.49	
377.5	325.75	262.968197961	1590693330.52	
376.0	324.75	263.147530229	1590693330.56	
375.75	324.0	263.304617223	1590693330.59	
374.75	322.0	264.239649359	1590693330.62	
377.75	319.25	263.659808254	1590693330.66	
383.25	316.75	261.080156216	1590693330.69	
386.0	313.0	261.444441757	1590693330.72	
386.75	310.75	261.728601312	1590693330.76	
387.5	308.25	262.113116595	1590693330.79	
387.5	307.25	262.245714304	1590693330.82	
388.25	306.75	263.023803523	1590693330.86	
389.25	306.25	263.554581964	1590693330.89	
391.75	305.25	263.081613593	1590693330.92	
394.75	302.75	263.081613593	1590693330.96	
397.75	299.0	263.633823775	1590693330.99	
399.75	295.25	264.077636979	1590693331.02	
402.5	291.5	264.336293742	1590693331.06	
405.0	288.5	263.867777502	1590693331.09	
407.75	286.75	262.20300889	1590693331.12	
408.5	285.75	261.903462832	1590693331.15	
409.0	285.25	261.362868585	1590693331.19	
409.0	283.75	261.290483578	1590693331.22	
408.75	281.5	261.564232487	1590693331.25	
409.5	278.25	261.362868585	1590693331.29	
409.25	274.25	260.103328032	1590693331.32	
410.0	271.5	259.908942761	1590693331.35	
409.25	268.25	260.103328032	1590693331.39	
410.0	265.5	259.261102899	1590693331.42	
410.5	263.5	259.169920457	1590693331.45	
409.75	261.75	259.365239061	1590693331.48	
409.25	259.5	259.805763007	1590693331.52	
409.25	256.0	258.73882988	1590693331.55	
410.25	252.5	258.251960503	1590693331.58	
410.5	247.75	257.527117875	1590693331.62	
411.5	244.25	257.471192291	1590693331.65	
413.25	240.0	256.322223885	1590693331.68	
412.75	236.5	256.913651331	1590693331.72	
413.0	234.25	256.986786721	1590693331.75	
414.0	232.75	257.786723454	1590693331.78	
416.0	232.0	257.735226272	1590693331.82	
420.0	231.25	256.731592144	1590693331.85	
424.25	231.0	255.599978693	1590693331.89	
426.25	231.25	255.904382689	1590693331.92	
